,smiles_huckel_DFT_xyz
0,Cc1cc2ccccc2c2-c3c([O-]->[Pd+2]4(<-[O-]c12)<-N(C)(CCN->4(C)Cc1ccccc1)Cc1ccccc1)c(C)cc1ccccc31
1,CN1(CCN(C)(Cc2ccccc2)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1ccccc1
2,CN1(CCN(C)(Cc2c3ccccc3cc3ccccc23)->[Pd+2]<-1(<-[Cl-])<-[Cl-])Cc1c2ccccc2cc2ccccc12
3,Cc1ccc([S-]->[Ni+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
4,Cc1ccc([S-]->[Zn+2]234<-n5ccccc5CN->25CCCN->3(Cc2ccccn->42)CCC5)cc1
5,C=CCN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
6,CN1C=CN(CCO)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
7,CN1C=CN(CC#N)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1
8,O=Cc1ccc(CN2C=CN(CCN3CCOCC3)[C]2->[Pt+2](<-[I-])(<-[I-])<-n2ccccc2)cc1
9,CCOC(CN1C=CN(C)[C]1->[Pt+2](<-[I-])(<-[I-])<-n1ccccc1)OCC
10,CP(C)(c1ccccc1)->[Au+3](<-[I-])(<-[I-])<-[I-]
11,CC(C)P(->[Au+]<-[I-])(C(C)C)C(C)C
12,[I-]->[Au+3]1(<-[I-])<-P(c2ccccc2)(c2ccccc2)c2ccccc2P->1(c1ccccc1)c1ccccc1
14,CC1=N2->[Cd+2](<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-n3ccccc31)<-N1(CCOCC1)CC2.O
15,CC1c2ccccn2->[Zn+2]2(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1
16,CC1=N([O-])->[Ni+2]23<-N(O)=C(C)C(C)(C)N->2CCCN->3C1(C)C
17,CC1c2ccccn2->[Co+3]2(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-[N-2][N+]#N)<-N=1CCN->21CCOCC1
19,CC1=CC(C)=N(c2c(C)cccc2C)->[Co+]23456(<-c7c->2c->3c->4(C)c->5c->67)<-[N-]1c1c(C)cccc1C
21,CC1=CC(C)=N(c2c(C)cccc2C)->[Co+3](<-[N-2]C23CC4CC(CC(C4)C2)C3)<-[N-]1c1c(C)cccc1C
22,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C
23,CN12->[Fe+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(C)(CC1)CCN->3(C)CC2
24,CC(C)P(C(C)C)(C(C)C)->[OsH2+2]1(<-[NH-]c2ccccc2[NH-]->1)<-P(C(C)C)(C(C)C)C(C)C
25,CC1(C)[CH2-]->[Pd+4]23(<-[Br-])(<-[CH2-]c4ccccc41)<-n1cccn1[BH-](n1cccn->21)n1cccn->31
26,CC#N->[OsH+3]1(<-[NH-]c2ccccc2[NH-]->1)(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C
27,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
28,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
30,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
31,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd+2]2(<-[O-]C(=O)C(F)(F)F)<-[c-]3ccccc3CN->2(C)C)cc1
32,CC(c1ccccc1)N1=Cc2ccccc2[O-]->[Ir+3]<-123(<-[c-]1cc(F)cc(F)c1-c1ccccn->21)<-[c-]1cc(F)cc(F)c1-c1ccccn->31
35,[Cl-]->[Zr+4]1(<-[Cl-])(<-[N-](CCC[N-]->1c1ccccc1)c1ccccc1)(<-O1CCCC1)<-O1CCCC1
37,O=C1Cc2cn3ccccc3n2->[Zn+2]2(<-O)(<-[O-]1)<-[O-]C(=O)Cc1cn3ccccc3n->21
38,Cc1cc(C)c2CP(c3ccccc3)(c3ccccc3)->[Rh+3]3(<-[I-])(<-[CH2-]c2c1CP->3(c1ccccc1)c1ccccc1)<-[c-]1ccccc1
40,Cc1cc(C)n(->[Ag+]2(<-O=S(=O)(c3ccc(F)cc3)[N-]->2S(=O)(=O)c2ccc(F)cc2)<-n2c(C)cc(C)cc2C)c(C)c1
42,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC
43,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC
44,Cc1cc(C)c(-c2cccc3=N(c4c(C)cc(C)cc4C)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[n-]23)<-N(C)C)c(C)c1
53,CC1=C(C)C2C3C(C)=C(C)C4C1P2(c1ccccc1)->[Ru+2]12567(<-[Cl-])(<-c8(C)c->1(C)c->2(C)c->5(C)c->6(C)c->78C)<-P43c1ccccc1
54,CC1=CP2(c3ccccc3)->[Ru+2]34567(<-[Cl-])(<-c8(C)c->3(C)c->4(C)c->5(C)c->6(C)c->78C)<-P3(c4ccccc4)C4C(C)=C(C)C3C1(C)C42
55,C=C1CP(c2ccccc2)(->[Ru+2]23456(<-[Cl-])(<-[Cl-])<-c7(C)c->2(C)c->3(C)c->4(C)c->5(C)c->67C)C=C1C
56,CCN(CC)C(=O)c12->[Cr]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41C)c->5c->62C(C)O
57,CC12CCC(C1)C(C)(C)C2O[Si](C)(C)c12->[Zr+4]3456789(<-[Cl-])(<-[Cl-])(<-c%10c->3c->4[cH-]->5c->6%10)<-c(c->71)[cH-]->8c->92
58,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccn(C)c2)<-n2ccccc2N)c1
59,Cc1cc(C)c([N-]2c3ccccc3C3(C)[N-](C4CCCCC4)->[Ti+4]<-2(<-[Cl-])(<-[N-](C)C)<-N3(C)C)c(C)c1
60,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1
61,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1
63,CC(C)P(C(C)C)(C(C)C)->[Rh+]1234(<-[C-]#[O+])<-c5[cH-]->1c->21ccccc->31c->45C(c1ccccc1)c1ccccc1
64,Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)[C]2->[Rh+]234(<-[Br-])<-C5=C->2CCC->3=C->4CC5)c(C)c1
66,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[C]32)<-C2=C->5CCC->6=C->7CC2)C(C)(C)CO4)c(C)c1
67,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+](<-[Br-])(<-[C-]#[O+])<-[C]32)C(C)(C)CO4)c(C)c1
69,CC(=O)[O-]->[Pd+2](<-[O-]C(C)=O)(<-N(C(C)C)C1CCCCC1)<-N(C(C)C)C1CCCCC1
71,CC(C)N(C(C)C)->[Pd+2](<-[O-]C(=O)C(C)(C)C)(<-[O-]C(=O)C(C)(C)C)<-N(C(C)C)C(C)C
72,Cc1cc(C)n(->[Y+3]23(<-[Cl-])(<-[Cl-])<-n4c(C)cc(C)n4[BH-](n4c(C)cc(C)n->24)n2c(C)cc(C)n->32)[nH]1
73,Cn1c[n+]([B-](CCCc23->[Zr+4]456789%10%11(<-[Cl-])(<-[Cl-])<-c%12c->4c->5[c-]->6([Si](C)(C)[c-]->7(c->8c->92)c->%103)c->%11%12)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc21
76,C[Si]1(C)c2ccccn2->[Ru]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->21
77,CS1CCS(C)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
78,CCS1CCS(CC)->[Mo+6]<-1(<-[O-2])(<-[O-2])(<-[Cl-])<-[Cl-]
79,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc3CN->13CCCC3C1CCCN->21Cc1ccccn1
80,O=[N-]->[Mo+2]123(<-[C-]#[O+])<-n4ccccc4CN->14CCCC4C1CCCN->21Cc1ccccn->31
81,CC1=CC(C)=N2CCN3=C(C)C=C(C)[O-]->[Re+5]<-2<-3(<-[O-2])(<-[C-]#N)<-[O-]1
82,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3
83,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3
88,Cc1cccc2cccc(-c34->[Cr]5678(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->5c->63)c->7c->84)c12
90,Cc1cccc2cccc(-c34->[Cr]5678(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->53)c->6(C)c->7c->84)c12
