,ligand_ID,ligands,bind_site,smiles_0,smiles_1
0,0,Cc1cc2ccccc2c(-c2c([O-])c(C)cc3ccccc23)c1[O-],"[12, 13]",Cc1cc2ccccc2c2c1[O][Ni]1([O]C(=O)C(c3ccccc3)[N]1c1ccccc1)[O]c1c(C)cc3ccccc3c1-2,Cc1cc2ccccc2c2c1[O][Ni]1([O]C(=O)N(c3ccccc3)[CH]1c1ccccc1)[O]c1c(C)cc3ccccc3c1-2
1,0,CN(CCN(C)Cc1ccccc1)Cc1ccccc1,"[0, 4]",C[N]1(CC[N](C)(Cc2ccccc2)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1)Cc1ccccc1,C[N]1(CC[N](C)(Cc2ccccc2)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1)Cc1ccccc1
2,2,CN(CCN(C)Cc1c2ccccc2cc2ccccc12)Cc1c2ccccc2cc2ccccc12,"[1, 4]",C[N]1(CC[N](C)(Cc2c3ccccc3cc3ccccc23)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1)Cc1c2ccccc2cc2ccccc12,C[N]1(CC[N](C)(Cc2c3ccccc3cc3ccccc23)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1)Cc1c2ccccc2cc2ccccc12
3,12,c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,"[0, 19]",O=C1[O][Ni]2(<-[P](c3ccccc3)(c3ccccc3)c3ccccc3[P]->2(c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[P](c3ccccc3)(c3ccccc3)c3ccccc3[P]->2(c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
4,17,CC(=CC(C)=Nc1c(C)cccc1C)[N-]c1c(C)cccc1C,"[5, 14]",CC1=CC(C)=[N](c2c(C)cccc2C)->[Ni]2([N]1c1c(C)cccc1C)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC1=CC(C)=[N](c2c(C)cccc2C)->[Ni]2([N]1c1c(C)cccc1C)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
5,19,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,"[6, 9]",CC1=C(C)C(C)([Si]2(Cl)(->[Hg+2]<-[Cl][Ni]23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,CC1=C(C)C(C)([Si]2(Cl)(->[Hg+2]<-[Cl][Ni]23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C
6,21,[NH-]c1ccccc1[NH-],"[0, 7]",O=C1[O][Ni]2([NH]c3ccccc3[NH]2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([NH]c3ccccc3[NH]2)[CH](c2ccccc2)N1c1ccccc1
7,22,[CH2-]c1ccccc1C([CH2-])(C)C,"[3, 4]",CC1(C)[CH2][Ni]2([CH2]c3ccccc31)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC1(C)[CH2][Ni]2([CH2]c3ccccc31)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
8,24,CC(N=Cc1ccccc1[O-])c1ccccc1,"[8, 16]",CC(c1ccccc1)[N]1=Cc2ccccc2[O][Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(c1ccccc1)[N]1=Cc2ccccc2[O][Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
9,24,Fc1c[c-]c(-c2ccccn2)c(F)c1,"[0, 13]",O=C1[O][Ni]2([c]3cc(F)cc(F)c3-c3cccc[n]->23)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([c]3cc(F)cc(F)c3-c3cccc[n]->23)[CH](c2ccccc2)N1c1ccccc1
10,27,CN(C)Cc1[c-]cccc1,"[0, 7]",C[N]1(C)Cc2cccc[c]2[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,C[N]1(C)Cc2cccc[c]2[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
11,29,c1ccc([N-]CCC[N-]c2ccccc2)cc1,"[0, 4]",O=C1[O][Ni]2([N](c3ccccc3)CCC[N]2c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([CH](c3ccccc3)N1c1ccccc1)[N](c1ccccc1)CCC[N]2c1ccccc1
12,30,O=C([O-])Cc1cn2ccccc2n1,"[11, 12]",O=C1Cc2cn3ccccc3[n]2->[Ni]2([O]1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,O=C1Cc2cn3ccccc3[n]2->[Ni]2([O]1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
13,32,O=S(=O)([N-]S(=O)(=O)c1ccc(F)cc1)c1ccc(F)cc1,"[0, 10]",O=C1[O][Ni]2(<-[O]=S(=O)(c3ccc(F)cc3)[N]2S(=O)(=O)c2ccc(F)cc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[O]=S(=O)(c3ccc(F)cc3)[N]2S(=O)(=O)c2ccc(F)cc2)[CH](c2ccccc2)N1c1ccccc1
14,35,Cc1cc(C)c(N=c2cccc(-c3c(C)cc(C)cc3C)[n-]2)c(C)c1,"[11, 21]",Cc1cc(C)c(-c2cccc3=[N](c4c(C)cc(C)cc4C)->[Ni]4([n]23)[O]C(=O)C(c2ccccc2)[N]4c2ccccc2)c(C)c1,Cc1cc(C)c(-c2cccc3=[N](c4c(C)cc(C)cc4C)->[Ni]4([n]23)[O]C(=O)N(c2ccccc2)[CH]4c2ccccc2)c(C)c1
15,36,CC1=C(C)C2C3C(C)=C(C)C(C1P2c1ccccc1)P3c1ccccc1,"[12, 19]",CC1=C(C)C2C3C(C)=C(C)C4C1[P]2(c1ccccc1)->[Ni]1(<-[P]43c2ccccc2)[O]C(=O)C(c2ccccc2)[N]1c1ccccc1,CC1=C(C)C2C3C(C)=C(C)C4C1[P]2(c1ccccc1)->[Ni]1(<-[P]43c2ccccc2)[O]C(=O)N(c2ccccc2)[CH]1c1ccccc1
16,37,CC1=CP(c2ccccc2)C2C3C(C)=C(C)C(P3c3ccccc3)C12C,"[3, 10]",CC1=C[P]2(c3ccccc3)->[Ni]3(<-[P]4(c5ccccc5)C5C(C)=C(C)C4C1(C)C52)[O]C(=O)C(c1ccccc1)[N]3c1ccccc1,CC1=C[P]2(c3ccccc3)->[Ni]3(<-[P]4(c5ccccc5)C5C(C)=C(C)C4C1(C)C52)[O]C(=O)N(c1ccccc1)[CH]3c1ccccc1
17,47,Cc1cc(C)c(N2[C]N(C3=NC(C)(C)CO3)C=C2)c(C)c1,"[11, 12]",Cc1cc(C)c(N2C=CN3C4=[N](->[Ni]5([CH]32)[O]C(=O)C(c2ccccc2)[N]5c2ccccc2)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=[N](->[Ni]5([CH]32)[O]C(=O)N(c2ccccc2)[CH]5c2ccccc2)C(C)(C)CO4)c(C)c1
18,54,CSCCSC,"[1, 4]",C[S]1CC[S](C)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,C[S]1CC[S](C)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
19,55,CCSCCSCC,"[2, 5]",CC[S]1CC[S](CC)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC[S]1CC[S](CC)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
20,72,FC(F)(F)c1ccccc1N=Cc1ccccn1,"[10, 17]",O=C1[O][Ni]2(<-[N](=Cc3cccc[n]->23)c2ccccc2C(F)(F)F)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[N](=Cc3cccc[n]->23)c2ccccc2C(F)(F)F)[CH](c2ccccc2)N1c1ccccc1
21,77,CCC1CSC(C2(C3=NC(CC)CS3)CCCCC2)=N1,"[8, 9]",CCC1CSC2C3(C4=[N](->[Ni]5(<-[N]=21)[O]C(=O)C(c1ccccc1)[N]5c1ccccc1)C(CC)CS4)CCCCC3,CCC1CSC2C3(C4=[N](->[Ni]5(<-[N]=21)[O]C(=O)N(c1ccccc1)[CH]5c1ccccc1)C(CC)CS4)CCCCC3
22,79,c1ccc(-c2ccccn2)nc1,"[0, 11]",O=C1[O][Ni]2(<-[n]3ccccc3-c3cccc[n]->23)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[n]3ccccc3-c3cccc[n]->23)[CH](c2ccccc2)N1c1ccccc1
23,85,c1cnc2c(c1)ccc1cccnc12,"[0, 11]",O=C1[O][Ni]2(<-[n]3cccc4ccc5ccc[n]->2c5c43)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[n]3cccc4ccc5ccc[n]->2c5c43)[CH](c2ccccc2)N1c1ccccc1
24,86,CC(C)[Se]C#Cc1ccccc1,"[0, 5]",CC(C)[Se][C]1#[C](c2ccccc2)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(C)[Se][C]1#[C](c2ccccc2)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
25,89,Cc1cc(C)n(CCn2nc(C)cc2C)n1,"[5, 6]",Cc1cc(C)[n]2->[Ni]3(<-[n]4c(C)cc(C)n4CCn12)[O]C(=O)C(c1ccccc1)[N]3c1ccccc1,Cc1cc(C)[n]2->[Ni]3(<-[n]4c(C)cc(C)n4CCn12)[O]C(=O)N(c1ccccc1)[CH]3c1ccccc1
26,91,FC(F)(F)C1=CC(C(F)(F)F)=NC1=C1C=CC=C[N-]1,"[0, 18]",O=C1[O][Ni]2([N]3C=CC=CC3=C3C(C(F)(F)F)=CC(C(F)(F)F)=[N]->23)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([N]3C=CC=CC3=C3C(C(F)(F)F)=CC(C(F)(F)F)=[N]->23)[CH](c2ccccc2)N1c1ccccc1
27,92,[O-]c1ccccc1P(c1ccccc1)c1ccccc1,"[0, 7]",O=C1[O][Ni]2([O]c3ccccc3[P]->2(c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([O]c3ccccc3[P]->2(c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
28,93,O=Cc1ccccc1P(c1ccccc1)c1ccccc1,"[0, 8]",O=C1[O][Ni]2(<-[O]=Cc3ccccc3[P]->2(c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[O]=Cc3ccccc3[P]->2(c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
29,94,C(=Nc1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,"[0, 8]",O=C1[O][Ni]2(<-[N](=Cc3ccccc3[P]->2(c2ccccc2)c2ccccc2)c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[N](=Cc3ccccc3[P]->2(c2ccccc2)c2ccccc2)c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
30,97,CC(N=O)=C(C)[N-]O,"[4, 6]",CC1=C(C)[N](=O)->[Ni]2([N]1O)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC1=C(C)[N](=O)->[Ni]2([N]1O)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
31,98,O=S(=O)([O-])OOS(=O)(=O)[O-],"[8, 9]",O=C1[O][Ni]2([O]S(=O)(=O)OOS(=O)(=O)[O]2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([O]S(=O)(=O)OOS(=O)(=O)[O]2)[CH](c2ccccc2)N1c1ccccc1
32,102,CCN(CC)c1ccc(C=Nc2ccc([N+](=O)[O-])cc2)c([O-])c1,"[10, 20]",CCN(CC)c1ccc2C=[N](c3ccc([N+](=O)[O-])cc3)->[Ni]3([O]c2c1)[O]C(=O)C(c1ccccc1)[N]3c1ccccc1,CCN(CC)c1ccc2C=[N](c3ccc([N+](=O)[O-])cc3)->[Ni]3([O]c2c1)[O]C(=O)N(c1ccccc1)[CH]3c1ccccc1
33,104,CC1CCCC2C3CC(CN12)C1CCCCN1C3,"[10, 11]",CC1CCCC2C3CC4C[N]12->[Ni]1(<-[N]2(CCCCC42)C3)[O]C(=O)C(c2ccccc2)[N]1c1ccccc1,CC1CCCC2C3CC4C[N]12->[Ni]1(<-[N]2(CCCCC42)C3)[O]C(=O)N(c2ccccc2)[CH]1c1ccccc1
34,105,CC(C)c1cccc(C(C)C)c1N=CC=Nc1c(C(C)C)cccc1C(C)C,"[12, 15]",CC(C)c1cccc(C(C)C)c1[N]1=CC=[N](c2c(C(C)C)cccc2C(C)C)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(C)c1cccc(C(C)C)c1[N]1=CC=[N](c2c(C(C)C)cccc2C(C)C)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
35,123,NCC[N-]S(=O)(=O)C(F)(F)F,"[0, 3]",O=C1[O][Ni]2(<-[NH2]CC[N]2S(=O)(=O)C(F)(F)F)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[NH2]CC[N]2S(=O)(=O)C(F)(F)F)[CH](c2ccccc2)N1c1ccccc1
36,128,CC(C)P(CCP(C(C)C)C(C)C)C(C)C,"[3, 6]",CC(C)[P]1(CC[P](C(C)C)(C(C)C)->[Ni]<-12[O]C(=O)C(c1ccccc1)[N]2c1ccccc1)C(C)C,CC(C)[P]1(CC[P](C(C)C)(C(C)C)->[Ni]<-12[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1)C(C)C
37,128,N#Cc1ccccc1,"[0, 1]",O=C1[O][Ni]2(<-[N]#[C]->2c2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[N]#[C]->2c2ccccc2)[CH](c2ccccc2)N1c1ccccc1
38,129,CC(N)C(=O)[O-],"[2, 3]",CC1[NH2]->[Ni]2([O]C1=O)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC1[NH2]->[Ni]2([O]C1=O)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
39,131,Clc1ccnc2c1ccc1ccc3c(Cl)ccnc3c12,"[0, 16]",O=C1[O][Ni]2(<-[n]3ccc(Cl)c4ccc5ccc6c(Cl)cc[n]->2c6c5c43)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[n]3ccc(Cl)c4ccc5ccc6c(Cl)cc[n]->2c6c5c43)[CH](c2ccccc2)N1c1ccccc1
40,134,CCCN(CCC)c1ccc(C=NN=C([S-])SC)cc1,"[12, 17]",CCCN(CCC)c1ccc(C=[N]2N=C(SC)[S][Ni]<-23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)cc1,CCCN(CCC)c1ccc(C=[N]2N=C(SC)[S][Ni]<-23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)cc1
41,137,O=[N+]([O-])[O-],"[2, 3]",O=C1[O][Ni]2([O][N+](=O)[O]2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([O][N+](=O)[O]2)[CH](c2ccccc2)N1c1ccccc1
42,142,CC1OCC2OC(N=Cc3ccccc3[O-])C([O-])C(O)C2O1,"[15, 16]",CC1OCC2OC3N=Cc4ccccc4[O][Ni]4([O]C(=O)C(c5ccccc5)[N]4c4ccccc4)[O]C3C(O)C2O1,CC1OCC2OC3N=Cc4ccccc4[O][Ni]4([O]C(=O)N(c5ccccc5)[CH]4c4ccccc4)[O]C3C(O)C2O1
43,143,COC1OC(c2ccccn2)=[C-]c2ccccc21,"[10, 11]",COC1OC2c3cccc[n]3->[Ni]3([C]=2c2ccccc21)[O]C(=O)C(c1ccccc1)[N]3c1ccccc1,COC1OC2c3cccc[n]3->[Ni]3([C]=2c2ccccc21)[O]C(=O)N(c1ccccc1)[CH]3c1ccccc1
44,146,CC(C)(C)N1Cc2cccc(n2)CN(C(C)(C)C)Cc2cccc(n2)C1,"[11, 12]",CC(C)(C)N1Cc2cccc3[n]2->[Ni]2(<-[n]4c(cccc4CN(C(C)(C)C)C3)C1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC(C)(C)N1Cc2cccc3[n]2->[Ni]2(<-[n]4c(cccc4CN(C(C)(C)C)C3)C1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
45,147,S=c1[n-]c(=S)[nH]c(=S)[nH]1,"[0, 8]",O=C1[O][Ni]2(<-[S]=c3[nH]c(=S)[nH]c(=S)[n]32)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[S]=c3[nH]c(=S)[nH]c(=S)[n]32)[CH](c2ccccc2)N1c1ccccc1
