,Unnamed: 0_x,file name,FINAL SINGLE POINT ENERGY,Unnamed: 0_y,TOTAL ENERGY
0,0,complex3_embed_18.out,-1749601.2203465486,9,-53961.62227778803
1,1,complex3_embed_2.out,-1749602.5099205363,16,-53962.49252989344
2,2,complex3_embed_4.out,-1749602.6718662644,18,-53962.49472191102
3,3,complex3_embed_5.out,-1749602.474853251,19,-53962.49336598769
4,4,complex3_embed_6.out,-1749605.8068733958,20,-53961.69536626565
5,5,complex4_embed_16.out,-1749603.8426540042,31,-53960.48932782051
6,6,complex4_embed_2.out,-1749605.5127492505,40,-53958.65917564646
7,7,complex4_embed_3.out,-1749604.3162186835,41,-53960.96110311028
8,8,complex4_embed_5.out,-1749604.3910537509,43,-53960.97154422814
9,9,complex4_embed_6.out,-1749558.2327792032,44,-53959.60827574304
10,10,complex5_embed_16.out,-1798919.3252247353,55,-57943.90398667916
11,11,complex5_embed_2.out,-1798920.3503762276,64,-57944.750669952526
12,12,complex5_embed_4.out,-1798918.177277663,66,-57941.33915402426
13,13,complex5_embed_5.out,-1798918.249404915,67,-57944.84743028034
14,14,complex5_embed_7.out,-1798920.3629989144,69,-57944.75785147677
15,15,complex6_embed_17.out,-1798926.1446609397,80,-57941.962921187456
16,16,complex6_embed_18.out,-1798920.6763332372,81,-57940.71872254767
17,17,complex6_embed_1.out,-1798926.7734434302,83,-57942.269424864266
18,18,complex6_embed_22.out,-1798920.7412327174,86,-57940.71957740192
19,19,complex6_embed_4.out,-1798920.5557038058,90,-57941.45871682808
20,20,complex7_embed_0.out,-2317376.4667508155,96,-80210.42266583002
21,21,complex7_embed_19.out,-2317364.817159664,106,-80209.87750835704
22,22,complex7_embed_1.out,-2317377.358432482,107,-80211.90116036909
23,23,complex7_embed_2.out,-2317368.859270909,112,-80211.75031455928
24,24,complex7_embed_7.out,-2317370.4488587244,117,-80208.61343543543
25,25,complex8_embed_0.out,-2317371.0634951224,120,-80203.47770167621
26,26,complex8_embed_19.out,-2317377.080794024,130,-80204.17764045074
27,27,complex8_embed_1.out,-2317380.0957973185,131,-80205.3583733875
28,28,complex8_embed_3.out,-2317372.969862443,137,-80205.29312368642
29,29,complex8_embed_7.out,-2317377.5535197547,141,-80208.975331885
30,30,isomer1_embed_16.out,-1724946.029532474,151,-51977.84430654185
31,31,isomer1_embed_17.out,-1724945.97251529,152,-51977.84962204006
32,32,isomer1_embed_1.out,-1724946.7554637112,155,-51978.49924891254
33,33,isomer1_embed_2.out,-1724946.8234058863,160,-51978.49196552664
34,34,isomer1_embed_7.out,-1724946.8769989184,165,-51977.508334792656
35,35,isomer2_embed_20.out,-1724943.034875115,180,-51975.24114596228
36,36,isomer2_embed_23.out,-1724943.054653067,183,-51975.24103531487
37,37,isomer2_embed_4.out,-1724942.1288081896,186,-51970.38912229755
38,38,isomer2_embed_6.out,-1724942.1925458913,188,-51970.39105546829
39,39,isomer2_embed_7.out,-1724942.191705975,189,-51970.39029013886
