,file name,TOTAL ENERGY
0,complex3_embed_0.out,-53951.844248671696
1,complex3_embed_10.out,-53890.71510478054
2,complex3_embed_11.out,-53884.1314384459
3,complex3_embed_12.out,-53890.72163613894
4,complex3_embed_13.out,-53884.25767396582
5,complex3_embed_14.out,-53890.6483059756
6,complex3_embed_15.out,-53890.645418612155
7,complex3_embed_16.out,-53950.94962755171
8,complex3_embed_17.out,-53950.94543524754
9,complex3_embed_18.out,-53961.62227778803
10,complex3_embed_19.out,-53961.61985887575
11,complex3_embed_1.out,-53951.84396453813
12,complex3_embed_20.out,-53961.62078652293
13,complex3_embed_21.out,-53950.94869823034
14,complex3_embed_22.out,-53950.93731825171
15,complex3_embed_23.out,-53959.14745917067
16,complex3_embed_2.out,-53962.49252989344
17,complex3_embed_3.out,-53951.84228580974
18,complex3_embed_4.out,-53962.49472191102
19,complex3_embed_5.out,-53962.49336598769
20,complex3_embed_6.out,-53961.69536626565
21,complex3_embed_7.out,-53951.84349297829
22,complex3_embed_8.out,-53884.116921766894
23,complex3_embed_9.out,-53884.256840806425
24,complex4_embed_0.out,-53958.65742248296
25,complex4_embed_10.out,-53896.94373334839
26,complex4_embed_11.out,-53896.59971642553
27,complex4_embed_12.out,-53896.561330111144
28,complex4_embed_13.out,-53899.99295168819
29,complex4_embed_14.out,-53896.561586148004
30,complex4_embed_15.out,-53896.56545229433
31,complex4_embed_16.out,-53960.48932782051
32,complex4_embed_17.out,-53958.32134938918
33,complex4_embed_18.out,-53957.48092666894
34,complex4_embed_19.out,-53958.32197178963
35,complex4_embed_1.out,-53958.65548717241
36,complex4_embed_20.out,-53937.32994814793
37,complex4_embed_21.out,-53958.31706409885
38,complex4_embed_22.out,-53955.42176996235
39,complex4_embed_23.out,-53957.479049046546
40,complex4_embed_2.out,-53958.65917564646
41,complex4_embed_3.out,-53960.961103110276
42,complex4_embed_4.out,-53958.65694791547
43,complex4_embed_5.out,-53960.97154422814
44,complex4_embed_6.out,-53959.608275743034
45,complex4_embed_7.out,-53955.64264481648
46,complex4_embed_8.out,-53896.93005403183
47,complex4_embed_9.out,-53896.93432998734
48,complex5_embed_0.out,-57936.06482200772
49,complex5_embed_10.out,-57875.70534709363
50,complex5_embed_11.out,-57875.71346037022
51,complex5_embed_12.out,-57880.46799637965
52,complex5_embed_13.out,-57867.58255580272
53,complex5_embed_14.out,-57875.71583618205
54,complex5_embed_15.out,-57875.787712908415
55,complex5_embed_16.out,-57943.90398667916
56,complex5_embed_17.out,-57940.767592038064
57,complex5_embed_18.out,-57935.186120794206
