,file name,FINAL SINGLE POINT ENERGY
0,complex3_embed_18.inp.out,-1749601.2203465486
1,complex3_embed_2.inp.out,-1749602.5099205363
2,complex3_embed_4.inp.out,-1749602.6718662644
3,complex3_embed_5.inp.out,-1749602.4748532507
4,complex3_embed_6.inp.out,-1749605.8068733958
5,complex4_embed_16.inp.out,-1749603.8426540042
6,complex4_embed_2.inp.out,-1749605.5127492505
7,complex4_embed_3.inp.out,-1749604.3162186835
8,complex4_embed_5.inp.out,-1749604.3910537509
9,complex4_embed_6.inp.out,-1749558.2327792032
10,complex5_embed_16.inp.out,-1798919.3252247353
11,complex5_embed_2.inp.out,-1798920.3503762276
12,complex5_embed_4.inp.out,-1798918.177277663
13,complex5_embed_5.inp.out,-1798918.2494049147
14,complex5_embed_7.inp.out,-1798920.3629989144
15,complex6_embed_17.inp.out,-1798926.1446609395
16,complex6_embed_18.inp.out,-1798920.6763332372
17,complex6_embed_1.inp.out,-1798926.7734434302
18,complex6_embed_22.inp.out,-1798920.7412327174
19,complex6_embed_4.inp.out,-1798920.5557038058
20,complex7_embed_0.inp.out,-2317376.4667508155
21,complex7_embed_19.inp.out,-2317364.817159664
22,complex7_embed_1.inp.out,-2317377.358432482
23,complex7_embed_2.inp.out,-2317368.859270909
24,complex7_embed_7.inp.out,-2317370.4488587244
25,complex8_embed_0.inp.out,-2317371.0634951224
26,complex8_embed_19.inp.out,-2317377.080794024
27,complex8_embed_1.inp.out,-2317380.0957973185
28,complex8_embed_3.inp.out,-2317372.969862443
29,complex8_embed_7.inp.out,-2317377.5535197547
30,isomer1_embed_16.inp.out,-1724946.029532474
31,isomer1_embed_17.inp.out,-1724945.9725152901
32,isomer1_embed_1.inp.out,-1724946.7554637112
33,isomer1_embed_2.inp.out,-1724946.8234058865
34,isomer1_embed_7.inp.out,-1724946.8769989184
35,isomer2_embed_20.inp.out,-1724943.034875115
36,isomer2_embed_23.inp.out,-1724943.0546530667
37,isomer2_embed_4.inp.out,-1724942.1288081896
38,isomer2_embed_6.inp.out,-1724942.1925458913
39,isomer2_embed_7.inp.out,-1724942.191705975
