,file name,TOTAL ENERGY
0,isomer1_embed_0.out,-51978.4944677282
1,isomer1_embed_10.out,-51977.503424825896
2,isomer1_embed_11.out,-51978.49424140892
3,isomer1_embed_12.out,-51968.908548187996
4,isomer1_embed_13.out,-51968.90508995767
5,isomer1_embed_14.out,-51977.50354383674
6,isomer1_embed_15.out,-51968.907126021055
7,isomer1_embed_16.out,-51977.494931125744
8,isomer1_embed_17.out,-51977.50675388664
9,isomer1_embed_18.out,-51977.241319827386
10,isomer1_embed_19.out,-51968.906000898045
11,isomer1_embed_1.out,-51977.48410464018
12,isomer1_embed_20.out,-51899.15284620292
13,isomer1_embed_21.out,-51907.17265904755
14,isomer1_embed_22.out,-51910.32358776533
15,isomer1_embed_23.out,-51910.58119133682
16,isomer1_embed_24.out,-51910.32475745654
17,isomer1_embed_25.out,-51899.13227108203
18,isomer1_embed_26.out,-51910.577938600625
19,isomer1_embed_27.out,-51907.032320962535
20,isomer1_embed_28.out,-51910.58139765048
21,isomer1_embed_29.out,-51899.144837543376
22,isomer1_embed_2.out,-51968.900685986555
23,isomer1_embed_30.out,-51910.58090580077
24,isomer1_embed_31.out,-51910.58340908666
25,isomer1_embed_32.out,-51907.166643054145
26,isomer1_embed_33.out,-51907.17241718049
27,isomer1_embed_34.out,-51907.17644695983
28,isomer1_embed_35.out,-51910.32002514573
29,isomer1_embed_36.out,-51907.16985484161
30,isomer1_embed_37.out,-51907.17544426445
31,isomer1_embed_38.out,-51907.17454943034
32,isomer1_embed_39.out,-51907.17767448729
33,isomer1_embed_3.out,-51977.50579673211
34,isomer1_embed_40.out,-51976.91277711018
35,isomer1_embed_41.out,-51976.91801803083
36,isomer1_embed_42.out,-51976.89952348129
37,isomer1_embed_43.out,-51976.91630083174
38,isomer1_embed_44.out,-51976.929833328766
39,isomer1_embed_45.out,-51968.0125906941
40,isomer1_embed_46.out,-51976.933292132024
41,isomer1_embed_47.out,-51976.93164236819
42,isomer1_embed_48.out,-51977.85758481991
43,isomer1_embed_49.out,-51972.96481541136
44,isomer1_embed_4.out,-51977.504364746535
45,isomer1_embed_50.out,-51976.93409594972
46,isomer1_embed_51.out,-51968.00766868858
47,isomer1_embed_52.out,-51977.85062967958
48,isomer1_embed_53.out,-51977.8480169919
49,isomer1_embed_54.out,-51968.01852675542
50,isomer1_embed_55.out,-51974.81147713509
51,isomer1_embed_56.out,-51976.928701419245
52,isomer1_embed_57.out,-51976.92933430537
53,isomer1_embed_58.out,-51976.931080608956
54,isomer1_embed_59.out,-51976.93394697657
55,isomer1_embed_5.out,-51977.50491499474
56,isomer1_embed_6.out,-51968.90566806665
57,isomer1_embed_7.out,-51977.497503656625
58,isomer1_embed_8.out,-51977.50204288667
59,isomer1_embed_9.out,-51968.90346846625
