,file name,FINAL SINGLE POINT ENERGY
0,isomer1_embed_0.inp.out,-1724946.7822420993
1,isomer1_embed_10.inp.out,-1724946.7709172354
2,isomer1_embed_11.inp.out,-1724946.9139704641
3,isomer1_embed_12.inp.out,-1724922.532523362
4,isomer1_embed_13.inp.out,-1724922.4479800016
5,isomer1_embed_14.inp.out,-1724946.92892841
6,isomer1_embed_15.inp.out,-1724922.558777551
7,isomer1_embed_16.inp.out,-1724946.7345755242
8,isomer1_embed_17.inp.out,-1724946.9695370041
9,isomer1_embed_18.inp.out,-1724935.292147984
10,isomer1_embed_19.inp.out,-1724922.4654345964
11,isomer1_embed_1.inp.out,-1724946.6488086446
12,isomer1_embed_20.inp.out,-1724823.0006648917
13,isomer1_embed_21.inp.out,-1724829.2974400932
14,isomer1_embed_22.inp.out,-1724835.3972224493
15,isomer1_embed_23.inp.out,-1724835.9264861655
16,isomer1_embed_24.inp.out,-1724835.4755818872
17,isomer1_embed_25.inp.out,-1724823.0788711403
18,isomer1_embed_26.inp.out,-1724835.8872006023
19,isomer1_embed_27.inp.out,-1724829.641974515
20,isomer1_embed_28.inp.out,-1724835.8605098887
21,isomer1_embed_29.inp.out,-1724823.1235447614
22,isomer1_embed_2.inp.out,-1724922.4582576565
23,isomer1_embed_30.inp.out,-1724835.9289675476
24,isomer1_embed_31.inp.out,-1724835.9283299588
25,isomer1_embed_32.inp.out,-1724829.320871904
26,isomer1_embed_33.inp.out,-1724829.3529910566
27,isomer1_embed_34.inp.out,-1724829.5495298614
28,isomer1_embed_35.inp.out,-1724835.4368669763
29,isomer1_embed_36.inp.out,-1724829.3673597518
30,isomer1_embed_37.inp.out,-1724829.5319047344
31,isomer1_embed_38.inp.out,-1724829.519869676
32,isomer1_embed_39.inp.out,-1724829.4853322946
33,isomer1_embed_3.inp.out,-1724946.8593807875
34,isomer1_embed_40.inp.out,-1724945.9468604638
35,isomer1_embed_41.inp.out,-1724946.1817814538
36,isomer1_embed_42.inp.out,-1724945.7938152282
37,isomer1_embed_43.inp.out,-1724945.9660473643
38,isomer1_embed_44.inp.out,-1724946.363727478
39,isomer1_embed_45.inp.out,-1724920.2970308783
40,isomer1_embed_46.inp.out,-1724946.215911264
41,isomer1_embed_47.inp.out,-1724946.231100582
42,isomer1_embed_48.inp.out,-1724946.0438871894
43,isomer1_embed_49.inp.out,-1724930.8093421848
44,isomer1_embed_4.inp.out,-1724946.9870282628
45,isomer1_embed_50.inp.out,-1724946.28813244
46,isomer1_embed_51.inp.out,-1724920.280163462
47,isomer1_embed_52.inp.out,-1724946.0463260324
48,isomer1_embed_53.inp.out,-1724946.0286584746
49,isomer1_embed_54.inp.out,-1724920.4018933533
50,isomer1_embed_55.inp.out,-1724931.8864086207
51,isomer1_embed_56.inp.out,-1724946.2988808549
52,isomer1_embed_57.inp.out,-1724946.2235550566
53,isomer1_embed_58.inp.out,-1724946.2410562295
54,isomer1_embed_59.inp.out,-1724946.2710334451
55,isomer1_embed_5.inp.out,-1724946.8933671732
56,isomer1_embed_6.inp.out,-1724922.4624144058
57,isomer1_embed_7.inp.out,-1724946.809048558
58,isomer1_embed_8.inp.out,-1724947.0108588778
59,isomer1_embed_9.inp.out,-1724922.4485644368
