file name,FINAL SINGLE POINT ENERGY,DIFF FROM LOWEST ENERGY (SP),FREE ENERGY IMPLICIT SOLVENT,DIFF FROM LOWEST FREE ENERGY,FREE ENERGY B97-D def2-TZVP 
isomer1_embed_8.inp.out,-1724947.01085888,0,-1724767.866,0.413000000175089,-1725062.017
isomer1_embed_4.inp.out,-1724946.98702826,0.0238306149840355,-1724767.782,0.497000000206754,-1725062.017
isomer1_embed_17.inp.out,-1724946.969537,0.041321873664856,-1724767.729,0.550000000046566,
isomer1_embed_14.inp.out,-1724946.92892841,0.0819304678589106,-1724767.781,0.498000000137836,-1725061.98
isomer1_embed_11.inp.out,-1724946.91397046,0.0968884136527777,-1724768.279,0,
isomer1_embed_5.inp.out,-1724946.89336717,0.117491704644635,,,
isomer1_embed_3.inp.out,-1724946.85938079,0.151478090323508,,,
isomer1_embed_7.inp.out,-1724946.80904856,0.201810319907963, ,,
isomer1_embed_0.inp.out,-1724946.7822421,0.228616778505966,,,
isomer1_embed_10.inp.out,-1724946.77091724,0.239941642386839,,,
isomer1_embed_16.inp.out,-1724946.73457552,0.276283353567123,,,
isomer1_embed_1.inp.out,-1724946.64880864,0.362050233175978,,,
isomer1_embed_44.inp.out,-1724946.36372748,0.647131399717182,-1724768.069,0.210000000195578,-1725061.962
isomer1_embed_56.inp.out,-1724946.29888085,0.711978022940457,,,
isomer1_embed_50.inp.out,-1724946.28813244,0.722726437728852,,,
isomer1_embed_59.inp.out,-1724946.27103345,0.73982543265447,,,
isomer1_embed_58.inp.out,-1724946.24105623,0.769802648341283,,,
isomer1_embed_47.inp.out,-1724946.23110058,0.779758295742795,,,
isomer1_embed_57.inp.out,-1724946.22355506,0.787303821183741,,,
isomer1_embed_46.inp.out,-1724946.21591126,0.794947613729164,,,
isomer1_embed_41.inp.out,-1724946.18178145,0.82907742401585,,,
isomer1_embed_52.inp.out,-1724946.04632603,0.964532845420763,,,
isomer1_embed_48.inp.out,-1724946.04388719,0.966971688438207,,,
isomer1_embed_53.inp.out,-1724946.02865847,0.982200403232127,,,
isomer1_embed_43.inp.out,-1724945.96604736,1.04481151350774,,,
isomer1_embed_40.inp.out,-1724945.94686046,1.06399841397069,,,
isomer1_embed_42.inp.out,-1724945.79381523,1.21704364963807,,,
isomer1_embed_18.inp.out,-1724935.29214798,11.7187108937651,,,
isomer1_embed_55.inp.out,-1724931.88640862,15.124450257048,,,
isomer1_embed_49.inp.out,-1724930.80934218,16.2015166929923,,,
isomer1_embed_15.inp.out,-1724922.55877755,24.4520813268609,,,
isomer1_embed_12.inp.out,-1724922.53252336,24.4783355158288,-1724750.631,17.6480000000447,-1725048.47
isomer1_embed_19.inp.out,-1724922.4654346,24.5454242813867,,,
isomer1_embed_6.inp.out,-1724922.46241441,24.5484444720205,,,
isomer1_embed_2.inp.out,-1724922.45825766,24.5526012212504,,,
isomer1_embed_9.inp.out,-1724922.44856444,24.5622944410425,,,
isomer1_embed_13.inp.out,-1724922.44798,24.562878876226,,,
isomer1_embed_54.inp.out,-1724920.40189335,26.6089655244723,,,
isomer1_embed_45.inp.out,-1724920.29703088,26.7138279995415,,,
isomer1_embed_51.inp.out,-1724920.28016346,26.7306954157539,,,
isomer1_embed_30.inp.out,-1724835.92896755,111.081891330192,,,
isomer1_embed_31.inp.out,-1724835.92832996,111.082528918982,-1724714.058,54.221000000136,-1725032.131
isomer1_embed_23.inp.out,-1724835.92648617,111.084372712299,,,
isomer1_embed_26.inp.out,-1724835.8872006,111.123658275465,,,
isomer1_embed_28.inp.out,-1724835.86050989,111.15034898906,,,
isomer1_embed_24.inp.out,-1724835.47558189,111.535276990617,,,
isomer1_embed_35.inp.out,-1724835.43686698,111.573991901474,,,
isomer1_embed_22.inp.out,-1724835.39722245,111.61363642849,,,
isomer1_embed_27.inp.out,-1724829.64197452,117.368884362746,-1724709.882,58.3970000001136,-1725030.516
isomer1_embed_34.inp.out,-1724829.54952986,117.461329016369,,,
isomer1_embed_37.inp.out,-1724829.53190473,117.478954143357,,,
isomer1_embed_38.inp.out,-1724829.51986968,117.490989201702,,,
isomer1_embed_39.inp.out,-1724829.48533229,117.525526583195,,,
isomer1_embed_36.inp.out,-1724829.36735975,117.643499125959,,,
isomer1_embed_33.inp.out,-1724829.35299106,117.657867821166,,,
isomer1_embed_32.inp.out,-1724829.3208719,117.689986973768,,,
isomer1_embed_21.inp.out,-1724829.29744009,117.713418784551,,,
isomer1_embed_29.inp.out,-1724823.12354476,123.887314116349,,,
isomer1_embed_25.inp.out,-1724823.07887114,123.931987737538,,,
isomer1_embed_20.inp.out,-1724823.00066489,124.01019398612,,,
